Preferred Local Label,LCSH Label,Institution
Undocumented immigrants in literature,Illegal aliens in literature,Harvard University Libraries
Undocumented immigrants in literature,Illegal aliens in literature,Columbia University Libraries
Indigenous peoples of North America,Indians of North America,Cataloging Lab
,Inmates of institutions,Cataloging Lab
People with disabilities,Invalids,Cataloging Lab
,"Italian Americans--Evacuation and relocation, 1942",Cataloging Lab
"Japanese American Internment, 1942-1945 or Japanese American Incarceration, 1942-1945","Japanese Americans--Evacuation and relocation, 1942-1945",Cataloging Lab
Youth in custody,Juvenile delinquents,Cataloging Lab
Sovereigns; or Rulers,Kings and rulers,Cataloging Lab
,Noble savage,Cataloging Lab
Asian literature,Oriental literature,Cataloging Lab
,Orientalism,Cataloging Lab
People on parole,Parolees,Cataloging Lab
Poor people,Poor,Cataloging Lab
K-pop (Music),Popular music--South Korea--2011-2020,Cataloging Lab
Nonindustrialized societies,Primitive societies,Cataloging Lab
Adults in custody,Prisoners,Cataloging Lab
Prison rape,Prisoners--Sexual behavior,Cataloging Lab
Children with behavioral problems,Problem children,Cataloging Lab
Ethnicity,Race,Cataloging Lab
Racial oppression,Race relations,Cataloging Lab
,Race riots,Cataloging Lab
Multiracial people,Racially mixed people,Cataloging Lab
LGBTQ people,Sexual minorities,Cataloging Lab
,Sexual minorities with disabilities.,Cataloging Lab
Sexual conversion programs,Sexual reorientation programs,Cataloging Lab
Enslavers,Slaveholders,Cataloging Lab
Enslavement,Slavery,Cataloging Lab
Enslaved persons,Slaves,Cataloging Lab
Hobos,Tramps,Cataloging Lab
Low-wage work(ers) or Low-wage employment/ees,Unskilled labor,Cataloging Lab
Survivors,Victims,Cataloging Lab
Women noncitizen labor,Women foreign workers (was Women alien labor),Columbia University Libraries
Women undocumented immigrants,Women illegal aliens,Harvard University Libraries
Women undocumented immigrants,Women illegal aliens,Columbia University Libraries
Flash cards,Word recognition,Cataloging Lab
